level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D05,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.403694854941095,13.008059281096038,13.052420796397397,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D05,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.635849323003509,1.0050694366852757,1.0930051412680646,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D05,EXT05C,EXT05C,up_rmse_m,9,0,9,1.445036493988127,2.173024808865852,2.1974286751325263,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,LC01,LC01,yaw_rmse_deg,9,0,9,3.85993283677414,4.332775098806262,4.534852912378933,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.998770671745258e-14,""up_max_m"":1.4002687898084787e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,LC01,LC01,horizontal_rmse_m,9,0,9,0.09908652500514938,0.10001664773805367,0.10005595454096475,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.998770671745258e-14,""up_max_m"":1.4002687898084787e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,LC01,LC01,up_rmse_m,9,0,9,0.05068010268550892,0.050683461542746645,0.050684241743219484,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.998770671745258e-14,""up_max_m"":1.4002687898084787e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D33,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D35,LC01,LC01,yaw_rmse_deg,9,0,9,3.2589641707615926,3.470046647134572,3.5458535187987317,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071574809321569e-14,""up_max_m"":1.3627987627273797e-14,""yaw_max_deg"":4.092726157978177e-12}"
