case_id,family,type,seed,method,config,yaw_rmse_deg,horizontal_rmse_m,up_rmse_m,yaw_p95_deg,failure_class,pre_failure_yaw,pre_failure_h,pre_failure_up,input_identity_note,source_run_dir,output_sha256,audit_status_R1,audit_status_R2,observer_discrepancy_R2
D16_seed_04,位置偏差,D16,seed_04,LC01,LIT,2.9948291279280137,1.5156440958756145,0.16702660669497552,4.968159841853011,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_04__seed_04/v2_R2,c21e18ef0aa07d1babe1646605cccd5c1e825a2bcd8007626994f72819da1045,PASS,PASS,"{""horizontal_max_m"":2.9310728916085626e-14,""up_max_m"":1.301736496372996e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_04,位置偏差,D16,seed_04,EXT05C,LIT,12.048351095499086,1.5154440873264134,0.16708630822919088,16.868453656949054,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_04__seed_04/v2_R2,2ebb5122c9858a1239e44c1adb8c23d048cad200659f636df1db9d261ffb31cb,PASS,PASS,"{""horizontal_max_m"":2.8231118173145453e-14,""up_max_m"":1.3211653993039363e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_05,位置偏差,D16,seed_05,LC01,LIT,2.9948274017300216,1.5151466888983196,0.16702623415035667,4.968144399851392,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_05__seed_05/v2_R2,bc6adefd573a9f1bca3754c3f1345bc75eb80225e5645ad81f9b1d4ad195117e,PASS,PASS,"{""horizontal_max_m"":2.942488992819917e-14,""up_max_m"":1.3239409568654992e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_05,位置偏差,D16,seed_05,EXT05C,LIT,12.048596038289036,1.5149402997957875,0.16708594140705002,16.869150106799406,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_05__seed_05/v2_R2,ca208d94a551ea8d9761b2aba1a55900f1b8a3737cfc8c2c2662d53301ad2f9a,PASS,PASS,"{""horizontal_max_m"":2.6479226448704097e-14,""up_max_m"":1.4099832412739488e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_06,位置偏差,D16,seed_06,LC01,LIT,2.9948276019696927,1.5156599190509594,0.8379620460956787,4.968140673421879,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_06__seed_06/v2_R2,d83499496926825b6624085c02b19c27631ec022274c1b03d97d03eab95a9330,PASS,PASS,"{""horizontal_max_m"":2.817627050273758e-14,""up_max_m"":1.2656542480726785e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_06,位置偏差,D16,seed_06,EXT05C,LIT,12.048668701586603,1.5154601573021254,0.8397419327620912,16.86808022453716,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_06__seed_06/v2_R2,f9a15e25a39bc8be06105e12b6873d6260d7bbe0e915975d333ece192c5f72d4,PASS,PASS,"{""horizontal_max_m"":2.7806377338326333e-14,""up_max_m"":1.2656542480726785e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_07,位置偏差,D16,seed_07,LC01,LIT,2.994826456196064,1.5085015311730061,0.8379601593318696,4.968141908181548,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_07__seed_07/v2_R2,7c318a20b7d60b0f65057265fd7723be85318f3c3b3eecb080924e9c04ad0a5e,PASS,PASS,"{""horizontal_max_m"":3.174349741901974e-14,""up_max_m"":1.2212453270876722e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_07,位置偏差,D16,seed_07,EXT05C,LIT,12.048238559497664,1.5091687216477694,0.8397400644887558,16.868797005560555,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_07__seed_07/v2_R2,03543b2f7235f79a428fbf588ce7d4e0c5bb11b07c1cc174e67bb6b8a2f66bb8,PASS,PASS,"{""horizontal_max_m"":2.9599470313860115e-14,""up_max_m"":1.27675647831893e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_08,位置偏差,D16,seed_08,LC01,LIT,2.9948279200273573,1.519314933317969,0.8379532478941432,4.968143104138369,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_08__seed_08/v2_R2,21e18c3eba441d98a3e8f0d04572d5ea66e6f465d84e540afedf50ee867d4648,PASS,PASS,"{""horizontal_max_m"":2.859918133873948e-14,""up_max_m"":1.3100631690576847e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_08,位置偏差,D16,seed_08,EXT05C,LIT,12.04957587683025,1.5199406139617495,0.8397331366900225,16.86963175435484,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_08__seed_08/v2_R2,ac8b5b78b73630aa862a04bea575e5cf24d4ed9b8d7c4e8f70d5558b40530957,PASS,PASS,"{""horizontal_max_m"":2.8492744323521625e-14,""up_max_m"":1.2989609388114332e-14,""yaw_max_deg"":4.092726157978177e-12}"
D18_seed_00,位置偏差,D18,seed_00,LC01,LIT,2.9948346776648904,1.6884803789895884,0.33512121107021275,4.968153739297546,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D18_seed_00__seed_00/v2_R2,4af229c74b2574ee1467f51d75e5cfc7b0979ac5f62416740f49858180ca19bc,PASS,PASS,"{""horizontal_max_m"":2.9719158652426136e-14,""up_max_m"":1.2784912017949068e-14,""yaw_max_deg"":4.092726157978177e-12}"
D18_seed_00,位置偏差,D18,seed_00,EXT05C,LIT,12.097463068021948,1.6882390305906425,0.3369905980836018,16.916956918077783,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D18_seed_00__seed_00/v2_R2,b223f3af6f8d49cc695558343ad839d07e8e1a98b2116c97a4ee104681e7627c,PASS,PASS,"{""horizontal_max_m"":2.9320189245914525e-14,""up_max_m"":1.2628786905111156e-14,""yaw_max_deg"":4.092726157978177e-12}"
D18_seed_01,位置偏差,D18,seed_01,LC01,LIT,2.9948354656601337,1.6940006211780394,0.8852520649953682,4.968138374339153,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D18_seed_01__seed_01/v2_R2,5ea65ff8295fd7b6d2801a21a5a28789ddef1c4499adcf76d8eac31d227eda9b,PASS,PASS,"{""horizontal_max_m"":3.0066553170065026e-14,""up_max_m"":1.3100631690576847e-14,""yaw_max_deg"":4.092726157978177e-12}"
D18_seed_01,位置偏差,D18,seed_01,EXT05C,LIT,12.137424786604349,1.695055855299338,0.8862398766608436,16.956754113614007,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D18_seed_01__seed_01/v2_R2,3a5caa3a2cd0c5c961aaf3e2994f53db0a8cc17c18c4efd4da601754540294fe,PASS,PASS,"{""horizontal_max_m"":2.7759128101963136e-14,""up_max_m"":1.2878587085651816e-14,""yaw_max_deg"":4.092726157978177e-12}"
