slot_id,version,role,axis,maximum,time_s,index_zero_based,matched_epoch_count,east_difference_m,evaluator_horizontal_error_m,evaluator_up_error_m,evaluator_yaw_error_deg,horizontal_magnitude_difference_m,horizontal_vector_discrepancy_m,north_difference_m,observer_horizontal_error_m,observer_up_error_m,observer_yaw_error_deg,up_difference_m,yaw_difference_deg
BY2__EXT05C__LIT__D62_10s_seed_06__seed_06__v3,v3,FULL,horizontal,2.943783111453509e-14,192.08704900741577,27260,58014,2.943478794037446e-14,0.0467288488479788,-0.0769550790582851,-14.70624190313427,-1.2052858711086856e-14,2.943783111453509e-14,-4.2327252813834093e-16,0.04672884884796675,-0.07695507905828167,-14.70624190313427,3.427813588530171e-15,0.0
BY2__EXT05C__LIT__D62_10s_seed_06__seed_06__v3,v3,FULL,up,1.2934098236883074e-14,186.1130678653717,26052,58014,-1.0107366332778867e-14,0.026345210315915,-0.0893739575402161,-15.262121288855552,-1.6965595595053173e-15,1.0143045836467996e-14,8.500145032286355e-16,0.026345210315913303,-0.08937395754020316,-15.262121288855553,1.2934098236883074e-14,0.0
BY2__EXT05C__LIT__D62_10s_seed_06__seed_06__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,-2.213507155346406e-15,0.0445583891118895,-0.0632431285926529,-18.045685588210915,4.579669976578771e-15,5.375726404011336e-15,-4.898859096158503e-15,0.04455838911189408,-0.06324312859265283,-18.045685588206823,6.938893903907228e-17,4.092726157978177e-12
BY2__EXT05C__LIT__D62_10s_seed_06__seed_06__v2,v2,FULL,horizontal,2.893603953645793e-14,172.16705560684204,23378,58014,2.893518757929314e-14,0.1097705658979466,-0.2995456271422108,-14.824797880057304,-2.886579864025407e-14,2.893603953645793e-14,2.220446049250313e-16,0.10977056589791774,-0.29954562714220384,-14.824797880057304,6.938893903907228e-15,0.0
BY2__EXT05C__LIT__D62_10s_seed_06__seed_06__v2,v2,FULL,up,1.3156142841808105e-14,183.3710720539093,25520,58014,2.4980018054066022e-15,0.1567094150053338,-0.337922247728164,-16.906599970716286,-2.3869795029440866e-15,3.7658286640778375e-15,-2.818058286724323e-15,0.15670941500533142,-0.3379222477281508,-16.906599970716286,1.3156142841808105e-14,0.0
BY2__EXT05C__LIT__D62_10s_seed_06__seed_06__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,4.274358644806853e-15,0.2128323077367803,-0.3486781867442694,-18.045685588210915,1.0547118733938987e-15,5.11162463112392e-15,-2.8033131371785203e-15,0.21283230773678136,-0.34867818674427165,-18.045685588206823,-2.220446049250313e-15,4.092726157978177e-12
BY2__LC01-BR__LIT__D62_10s_seed_06__seed_06__v3,v3,FULL,horizontal,2.852900207884354e-14,175.13105988502502,23946,58014,-2.8514517136368767e-14,0.0424661448733734,0.0141752541493334,-0.4595995938993837,-3.497202527569243e-15,2.852900207884354e-14,-9.08995101411847e-16,0.0424661448733699,0.014175254149331771,-0.45959959389938376,-1.6289053439422219e-15,0.0
BY2__LC01-BR__LIT__D62_10s_seed_06__seed_06__v3,v3,FULL,up,1.2760625889285393e-14,185.50905084609985,25935,58014,-2.2594773274597912e-15,0.0367002438474588,-0.0255580765821505,-0.0495671348798509,4.85722573273506e-16,2.4328878302972475e-15,-9.020562075079397e-16,0.036700243847459284,-0.02555807658216326,-0.04956713487985098,-1.2760625889285393e-14,0.0
BY2__LC01-BR__LIT__D62_10s_seed_06__seed_06__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,2.435551760271437e-15,0.0536932455392157,-0.0564516813674238,-6.353409995351456,-5.169475958410885e-15,6.554702638707309e-15,6.085409953726639e-15,0.05369324553921053,-0.05645168136742666,-6.353409995347363,-2.858824288409778e-15,4.092726157978177e-12
BY2__LC01-BR__LIT__D62_10s_seed_06__seed_06__v2,v2,FULL,horizontal,2.89217787547498e-14,212.26440000534052,31097,58014,2.861242059254421e-14,0.1590089710283832,-0.3793683621199015,-1.2823594408312715,-4.3298697960381105e-15,2.89217787547498e-14,4.218847493575595e-15,0.15900897102837888,-0.3793683621199033,-1.28235944083184,-1.8318679906315083e-15,-5.684341886080801e-13
