elapsed_s,raw_sensor_z_integral,installation_and_3d_rotation,saved_gyro_bias_effect,contact_update_rotation_effect,actual_native_yaw_increment,contact_switch_intervals
109,181.42775037354627,0.40978513417973494,-43.42254213868414,-56.26705679359564,82.14793657544298,14
110,181.12256617151704,0.3889306678406723,-44.30622021407968,-55.35473894242809,81.85053768284659,10
111,180.6956338188392,0.3725711981068822,-45.19690797113391,-56.99676707133346,78.87452997447474,14
112,182.4985563821763,0.322931651460708,-46.09268737958278,-55.53380090791427,81.19499974613595,14
113,184.13380486180864,0.20053270807569218,-46.95699400329429,-53.8815544257403,83.49578914084591,12
114,183.5104394273102,0.20625326549483675,-47.81845717367337,-52.317509574217375,83.58072594491013,13
115,183.02875343623444,0.21477978781962315,-48.66730136514397,-51.960048487094674,82.61618337181116,15
116,182.34122140539483,0.23354253077618436,-49.48177409226853,-48.46230417769254,84.63068566620589,11
117,181.946727894915,0.22265613447756344,-50.291164831202835,-50.79468396985364,81.08353522833202,11
118,181.24240561298788,0.21601169200387987,-51.07325513306963,-44.280206533496056,86.10495563842208,11
119,180.22547945606695,0.19362217977115054,-51.791424402175515,-39.49450302438665,89.13317420927194,10
120,188.92419345865366,0.1982431020861744,-52.499687989826235,-40.236502167186366,96.38624640372336,12
121,187.7872235700927,0.1803705343445688,-53.220151581845094,-43.55540224828605,91.19204027430175,12
122,187.28393060422277,0.1684944766646702,-53.986328084260045,-48.20579067573414,85.26030632088859,12
123,186.2732826519803,0.18570050400866805,-54.777702146318454,-47.32899611042751,84.35228489923831,10
124,184.93247088767043,0.2063545909890866,-55.548080069797386,-44.38082286390499,85.2099225449526,12
125,184.42299111513066,0.22288657675707108,-56.28684444839074,-42.73728509250154,85.6217481509907,12
126,183.50036115003917,0.24111081527826317,-57.02048919130097,-43.19141724924145,83.5295655247701,11
127,182.89934663974944,0.21933168902608713,-57.75477615920417,-42.38191549245442,82.98198667711242,12
128,192.09115430748824,0.2768188180537233,-58.48483955182775,-43.355054603704595,90.52807897000491,13
129,194.36455669759698,0.20728686029460008,-59.23278083991947,-45.68825320512117,89.6508095128463,12
130,192.13531157457015,0.2113624599523347,-59.99710857014492,-44.967710034148986,87.3818554302242,11
131,192.17868739994535,0.09653875571659642,-60.75370895420292,-44.91500353966771,86.6065136617867,14
132,213.1721748196811,0.3648494186710476,-61.513291611261295,-49.61086467665719,102.41286795042934,12
133,220.55492082850822,0.28509374550711275,-62.302243231426786,-49.98855006679487,108.5492212757895,12
134,241.58274276820345,0.30558608811781907,-63.10232434125582,-52.720519101609284,126.06548541345185,11
135,252.2219630115298,0.33609688588941644,-63.93343833765458,-53.845193292840094,134.77942826691992,10
136,253.21032264920524,0.3276206968770301,-64.79171960762714,-58.15358443296863,130.59263930548178,9
137,271.64870827761104,0.38272235948340483,-65.68167269866154,-60.20528695335232,146.14447098507594,10
138,273.07972609822514,0.3772089524655282,-66.59547983803343,-61.46344575789813,145.39800945475446,11
139,272.38080469152675,0.3823117731775273,-67.49352250525183,-56.36675563429779,148.90283832515,0
140,272.4324786473424,0.3849817879237689,-68.33340490353521,-51.95117873137529,152.53287680035103,0
141,272.5563763732066,0.38691096400314917,-69.14113557243431,-49.80786251916053,153.99428924561025,0
142,272.5310071810176,0.38718405282713997,-69.92830380733203,-48.12419759094288,154.8656898355652,1
143,272.7710603323745,0.3868003019231866,-70.70082806522383,-46.90515790185229,155.55187466721688,0
144,272.69830249850355,0.3861880814078217,-71.46175529708688,-45.60474002452264,156.0179952582972,0
145,272.8701307407396,0.38506096793937516,-72.21048856479906,-44.46467647267968,156.58002667119558,0
146,272.9942062458822,0.3850796424322336,-72.95025789646948,-43.482843199470786,156.9461847923695,0
147,273.05827329372073,0.38551758279405346,-73.68199332384908,-42.75789844733172,157.0038991053293,0
148,273.2662899165189,0.3846780254747405,-74.4057789240458,-42.159679022535265,157.08550999540788,0
149,273.34148344848177,0.38330702720589205,-75.12315135167549,-41.450664583167054,157.15097454084048,0
150,273.41292122577937,0.38228853470431334,-75.83367062430278,-40.8233444084283,157.13819472774796,0
151,273.3202540118119,0.3823180143608318,-76.5380238125308,-40.138939429270486,157.0256087843668,0
152,273.50991856322366,0.38144494512829985,-77.23571642199333,-39.45750756440981,157.19813952194414,0
153,273.55667467627046,0.38097582040083444,-77.92678837447285,-38.833847508232616,157.17701461396118,0
154,273.6101041637983,0.38015747183032667,-78.61183611206907,-38.238108402380014,157.14031712117492,0
155,273.6865704660284,0.37943049560698205,-79.29081225168508,-37.660033992787504,157.11515471715813,0
156,273.77931689252154,0.3785529307806541,-79.96401362424159,-37.08670416189289,157.10715203716305,0
157,273.8228480883276,0.3780233883891234,-80.63122521357357,-36.462419554536645,157.10722670860181,0
158,273.893951524633,0.3774353651000989,-81.29238000105718,-35.87591177675684,157.10309511191443,0
159,273.946558830803,0.3768653124058101,-81.94809085512117,-35.3168727601287,157.05846052795428,0
160,273.9890570972585,0.3764978027678134,-82.59800860833045,-34.747487089236664,157.02005920245455,0
161,274.07420602325664,0.375938699848428,-83.24239930145228,-34.23494782496468,156.97279759668345,0
162,274.128679576385,0.3752417647938957,-83.8814331824797,-33.68225188073377,156.9402362779608,0
163,274.1004301267421,0.3746994813221851,-84.51519877599593,-33.22798599709667,156.731944834967,0
164,274.0976331171838,0.37432204420998627,-85.1438750616261,-32.67609240339562,156.6519876963674,0
165,274.30906718812287,0.3731881759936899,-85.76768658723383,-32.287507085935644,156.6270616909424,0
166,274.4175036324043,0.3722950215464248,-86.38713084620002,-31.77875704411239,156.62391076363366,0
167,274.5125361572953,0.37199717261712073,-87.00187369927845,-31.199036500435472,156.68362313019387,0
168,274.56189858103164,0.37136615215114843,-87.6109646161357,-30.679715906225695,156.64258421081672,0
169,274.6386071128023,0.37042969341303844,-88.21451672575267,-30.155482104514086,156.63903797594392,0
170,274.6365377372705,0.3696173749031083,-88.81252321850161,-29.635153382604752,156.5584785110626,0
171,274.7843393204442,0.3684617427522957,-89.40609112384017,-29.144877628871196,156.60183231048046,0
172,274.9212373058995,0.3676803016264457,-89.99481656615362,-28.662247748658928,156.63185329270877,0
173,274.95306299666123,0.3670176853742041,-90.57867854165121,-28.175547332125458,156.56585480825407,0
