case_id,family,type,seed,method,config,yaw_rmse_deg,horizontal_rmse_m,up_rmse_m,yaw_p95_deg,failure_class,pre_failure_yaw,pre_failure_h,pre_failure_up,input_identity_note,source_run_dir,output_sha256
D43_seed_00,速度噪声,D43,seed_00,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_01,速度噪声,D43,seed_01,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_01,速度噪声,D43,seed_01,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_02,速度噪声,D43,seed_02,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_02,速度噪声,D43,seed_02,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_03,速度噪声,D43,seed_03,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_03,速度噪声,D43,seed_03,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_04,速度噪声,D43,seed_04,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_04,速度噪声,D43,seed_04,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_05,速度噪声,D43,seed_05,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_05,速度噪声,D43,seed_05,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_06,速度噪声,D43,seed_06,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_06,速度噪声,D43,seed_06,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_07,速度噪声,D43,seed_07,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_07,速度噪声,D43,seed_07,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D43_seed_08,速度噪声,D43,seed_08,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D43_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D43_seed_08,速度噪声,D43,seed_08,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D43_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_00,速度中断,D42,seed_00,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_00,速度中断,D42,seed_00,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_01,速度中断,D42,seed_01,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_01,速度中断,D42,seed_01,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_02,速度中断,D42,seed_02,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_02,速度中断,D42,seed_02,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_03,速度中断,D42,seed_03,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_03,速度中断,D42,seed_03,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_04,速度中断,D42,seed_04,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_04,速度中断,D42,seed_04,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_05,速度中断,D42,seed_05,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_05,速度中断,D42,seed_05,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_06,速度中断,D42,seed_06,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_06,速度中断,D42,seed_06,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_07,速度中断,D42,seed_07,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_07,速度中断,D42,seed_07,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
D42_seed_08,速度中断,D42,seed_08,LC01,LIT,2.9948274600591076,0.0975479714305497,0.05066431825806066,4.968141341576708,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__LC01__LIT__D42_seed_00__seed_00,ccd25c2e1309ba2870e57e2208f476a6b48eaba69f0d038f26be2f168bb2c695
D42_seed_08,速度中断,D42,seed_08,EXT05C,LIT,12.048641737808111,0.0877508129138417,0.05646995229568549,16.868495836757056,NONE,,,,输入与 C00 相同（哈希核实）,$HX03/RUNS/BY2__EXT05C__LIT__D42_seed_00__seed_00,915192d6fcefaf7bef33c4028b571d1b723f7e0759063e2955aebd3d1ee7ace8
