row_type,native_leg_index,leg,transition_count,on_transition_count,off_transition_count,contact_fraction,no_contact_fraction,dwell_state,dwell_finite_count,dwell_total_count,dwell_finite_rate,dwell_minimum,dwell_p01,dwell_p05,dwell_p25,dwell_p50,dwell_p75,dwell_p95,dwell_p99,dwell_maximum,dwell_mean,dwell_std,data_status,terminal_status,complete_record_count,timestamped_record_starts,sample_index,threshold_crossing_start_index,threshold_crossing_start_time_seconds,event_time_seconds,debounce_elapsed_seconds,from_contact,to_contact,force_at_event,dwell_start_time_seconds,dwell_end_time_seconds,dwell_duration_seconds,dwell_sample_count
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5627,5624,1772784071.1030657,1772784071.1190367,0.015970945358276367,0,1,43.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5678,5675,1772784071.3530583,1772784071.3690572,0.01599884033203125,1,0,6.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5727,5725,1772784071.5850582,1772784071.6010616,0.01600337028503418,0,1,96.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5779,5775,1772784071.8310564,1772784071.8470685,0.016012191772460938,1,0,5.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5830,5827,1772784072.0690613,1772784072.0830796,0.01401829719543457,0,1,108.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5884,5881,1772784072.315063,1772784072.3290863,0.014023303985595703,1,0,7.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5937,5934,1772784072.569062,1772784072.5830626,0.014000654220581055,0,1,58.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,5986,5983,1772784072.8070486,1772784072.8210595,0.014010906219482422,1,0,6.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,6040,6037,1772784073.0470688,1772784073.0610607,0.013991832733154297,0,1,92.0,,,,
transition,0,FR,,,,,,,,,,,,,,,,,,,,,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278,6086,6083,1772784073.2910607,1772784073.3050582,0.013997554779052734,1,0,6.0,,,,
