comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_state,reference_state,candidate_value,reference_value,delta_candidate_minus_reference,pair_status,candidate_algorithm_failure,reference_algorithm_failure,duration_s,sign,evaluator_version,source_table,source_table_row,source_sha256
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_20s_seed_07,D61,A1,seed_07,SUCCESS,SUCCESS,48.0252240119263,59.92609048360287,-11.900866471676572,FINITE_WIN,False,False,20,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,34,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_20s_seed_07,D61,A1,seed_07,SUCCESS,SUCCESS,108.21710016331816,131.2870697785581,-23.06996961523994,FINITE_WIN,False,False,20,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,35,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_20s_seed_08,D61,A1,seed_08,SUCCESS,SUCCESS,18.819356606963318,4.840105069725056,13.979251537238262,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,36,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_20s_seed_08,D61,A1,seed_08,SUCCESS,SUCCESS,41.26772036009873,16.801253581908718,24.46646677819001,FINITE_LOSS,False,False,20,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,37,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,138.6842364074588,140.96475933674537,-2.280522929286576,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,38,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,328.7116019289491,331.60158480252124,-2.889982873572137,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,39,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,38.60452142458909,34.748138570260856,3.8563828543282312,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,40,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,87.82965083716738,80.34231309710303,7.487337740064348,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,41,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_02,D61,A1,seed_02,SUCCESS,SUCCESS,105.43682823648935,95.93162049268062,9.505207743808725,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,42,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_02,D61,A1,seed_02,SUCCESS,SUCCESS,256.1060853597728,235.47463008976237,20.631455270010434,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,43,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_03,D61,A1,seed_03,SUCCESS,SUCCESS,110.364726508956,95.26066221033777,15.104064298618226,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,44,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_03,D61,A1,seed_03,SUCCESS,SUCCESS,251.57502470508024,226.17502798241796,25.39999672266228,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,45,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_04,D61,A1,seed_04,SUCCESS,SUCCESS,84.4395098948173,82.36105911647026,2.0784507783470474,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,46,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_04,D61,A1,seed_04,SUCCESS,SUCCESS,210.70570479866177,206.01784378463665,4.687861014025117,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,47,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_05,D61,A1,seed_05,SUCCESS,SUCCESS,112.07247570471633,94.88094266330475,17.191533041411574,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,48,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_05,D61,A1,seed_05,SUCCESS,SUCCESS,253.89030212471778,222.49862383371894,31.39167829099884,FINITE_LOSS,False,False,30,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,49,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_06,D61,A1,seed_06,SUCCESS,SUCCESS,128.8771284456967,143.71491602760747,-14.83778758191076,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,50,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
