dataset_id,case_family,degradation_type_id,method_id,terminal_status,run_count
BY2,go2_prior_metadata,D53,F04,NOT_STARTED,9
BY2,go2_prior_metadata,D54,A03,NOT_STARTED,9
BY2,go2_prior_metadata,D54,A04,NOT_STARTED,9
BY2,go2_prior_metadata,D54,A05,NOT_STARTED,9
BY2,go2_prior_metadata,D54,A06,NOT_STARTED,9
BY2,go2_prior_metadata,D54,A07,NOT_STARTED,9
BY2,go2_prior_metadata,D54,A08,NOT_STARTED,9
BY2,go2_prior_metadata,D54,A09,NOT_STARTED,9
BY2,go2_prior_metadata,D54,F01,NOT_STARTED,9
BY2,go2_prior_metadata,D54,F02,NOT_STARTED,9
BY2,go2_prior_metadata,D54,F03,NOT_STARTED,9
BY2,go2_prior_metadata,D54,F04,NOT_STARTED,9
BY2,go2_prior_metadata,D55,A03,NOT_STARTED,9
BY2,go2_prior_metadata,D55,A04,NOT_STARTED,9
BY2,go2_prior_metadata,D55,A05,NOT_STARTED,9
BY2,go2_prior_metadata,D55,A06,NOT_STARTED,9
BY2,go2_prior_metadata,D55,A07,NOT_STARTED,9
BY2,go2_prior_metadata,D55,A08,NOT_STARTED,9
BY2,go2_prior_metadata,D55,A09,NOT_STARTED,9
BY2,go2_prior_metadata,D55,F01,NOT_STARTED,9
BY2,go2_prior_metadata,D55,F02,NOT_STARTED,9
BY2,go2_prior_metadata,D55,F03,NOT_STARTED,9
BY2,go2_prior_metadata,D55,F04,NOT_STARTED,9
BY2,go2_prior_metadata,D56,A03,NOT_STARTED,9
BY2,go2_prior_metadata,D56,A04,NOT_STARTED,9
BY2,go2_prior_metadata,D56,A05,NOT_STARTED,9
BY2,go2_prior_metadata,D56,A06,NOT_STARTED,9
BY2,go2_prior_metadata,D56,A07,NOT_STARTED,9
BY2,go2_prior_metadata,D56,A08,NOT_STARTED,9
BY2,go2_prior_metadata,D56,A09,NOT_STARTED,9
BY2,go2_prior_metadata,D56,F01,NOT_STARTED,9
BY2,go2_prior_metadata,D56,F02,NOT_STARTED,9
BY2,go2_prior_metadata,D56,F03,NOT_STARTED,9
BY2,go2_prior_metadata,D56,F04,NOT_STARTED,9
BY2,multi_source_mixed,D57,A03,NOT_STARTED,9
BY2,multi_source_mixed,D57,A04,NOT_STARTED,9
BY2,multi_source_mixed,D57,A05,NOT_STARTED,9
BY2,multi_source_mixed,D57,A06,NOT_STARTED,9
BY2,multi_source_mixed,D57,A07,NOT_STARTED,9
BY2,multi_source_mixed,D57,A08,NOT_STARTED,9
BY2,multi_source_mixed,D57,A09,NOT_STARTED,9
BY2,multi_source_mixed,D57,F01,NOT_STARTED,9
BY2,multi_source_mixed,D57,F02,NOT_STARTED,9
BY2,multi_source_mixed,D57,F03,NOT_STARTED,9
BY2,multi_source_mixed,D57,F04,NOT_STARTED,9
BY2,multi_source_mixed,D58,A03,NOT_STARTED,9
BY2,multi_source_mixed,D58,A04,NOT_STARTED,9
BY2,multi_source_mixed,D58,A05,NOT_STARTED,9
BY2,multi_source_mixed,D58,A06,NOT_STARTED,9
BY2,multi_source_mixed,D58,A07,NOT_STARTED,9
