hypothesis,comparison,metric_name,finite_count,median_delta,median_10s,median_20s,median_30s,benefit,duration_trend,complete,evaluator_version,source_table,source_table_row,source_sha256
H1,A03_vs_A06,fault_window_horizontal_rmse_m,27,0.03354962996301225,0.0403166639345276,0.07015110534494085,0.02819252931116978,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,24,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_A06,outage_end_horizontal_error_m,27,0.06983992223081259,0.07627376585663725,0.12166518815287475,0.05105232833648188,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,25,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_A07,fault_window_horizontal_rmse_m,27,0.8229735320178975,0.46575843037301023,1.0125835338022426,1.8473275032930445,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,26,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_A07,outage_end_horizontal_error_m,27,0.9970289111289814,0.9142678185216013,2.093547716402661,4.240053475225466,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,27,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_A08,fault_window_horizontal_rmse_m,27,0.8222371606167762,0.5724454847051081,0.9930106860743706,1.8413111719455628,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,28,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_A08,outage_end_horizontal_error_m,27,0.9870716220187914,0.9134737896422251,2.0502444906254738,4.225148090459072,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,29,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_A09,fault_window_horizontal_rmse_m,27,0.6819095429140116,0.46906799600006943,1.032870948008572,2.1581662072351406,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,30,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A03_vs_A09,outage_end_horizontal_error_m,27,1.004629651218333,0.8422346152156805,2.141266506128929,4.869877809674193,False,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,31,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A05_vs_F03,fault_window_horizontal_rmse_m,27,-0.046122760265085105,-0.046122760265085105,-0.04094053932701769,-0.06610903791552403,True,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,32,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A05_vs_F03,outage_end_horizontal_error_m,27,-0.07955096562796271,-0.07955096562796271,-0.06126536931759574,-0.12050844224918933,True,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,33,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A05_vs_A06,fault_window_horizontal_rmse_m,27,-0.7024806206410847,-0.4618332811488872,-0.9778857423740881,-2.0741669922740016,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,34,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A05_vs_A06,outage_end_horizontal_error_m,27,-0.989254866780275,-0.8425078712125824,-2.024868202986241,-4.672261505453463,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,35,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A05_vs_A07,fault_window_horizontal_rmse_m,27,-0.009911594593731365,-0.003454234723838212,-0.009911594593731365,-0.02533013527349226,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,36,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A05_vs_A07,outage_end_horizontal_error_m,27,-0.019870025882383402,-0.0067518614918782305,-0.019870025882383402,-0.051372611113833955,True,True,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,37,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
H1,A05_vs_A08,fault_window_horizontal_rmse_m,27,-0.002237649411384268,-0.0029702830734184005,-0.009383751946598018,-0.0017612372351152317,True,False,True,v2,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v2/H1_COMPONENT_DECISIONS.csv,38,6bdab65bc91e8dd9dfb7a07208a7516a56e543c6b021a9edc681c8180f7c03cb
