comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_value,reference_value,delta_candidate_minus_reference,relative_change_percent,candidate_better,tie,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_30s_seed_08,D61,A1,seed_08,80.1333057227614,101.80758356886963,-21.674277846108225,-21.289453188373002,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,55,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D62_10s_seed_00,D62,A2,seed_00,7.657349404865137,12.224342244419287,-4.56699283955415,-37.35982475162698,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,56,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D62_10s_seed_00,D62,A2,seed_00,14.17435992642641,27.37516250994538,-13.20080258351897,-48.221823628346044,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,57,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D62_10s_seed_01,D62,A2,seed_01,3.205928644780658,3.8227716702040433,-0.6168430254233854,-16.136015400324993,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,58,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D62_10s_seed_01,D62,A2,seed_01,5.5464930499170055,7.720653843363754,-2.174160793446749,-28.160319547489323,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,59,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D62_10s_seed_02,D62,A2,seed_02,3.3701098448570566,7.859411080455159,-4.489301235598102,-57.12007158859688,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,60,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D62_10s_seed_02,D62,A2,seed_02,5.612911382197345,19.303673635746737,-13.69076225354939,-70.92309221492795,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,61,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D62_10s_seed_03,D62,A2,seed_03,4.85230996316392,8.61380890351981,-3.7614989403558905,-43.668242266424684,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,62,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D62_10s_seed_03,D62,A2,seed_03,8.607321518714741,20.560510849729713,-11.953189331014972,-58.136635895756974,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,63,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D62_10s_seed_04,D62,A2,seed_04,6.929908710377674,9.696875651151917,-2.7669669407742425,-28.53462331906409,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,64,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D62_10s_seed_04,D62,A2,seed_04,13.619608352430383,22.423545788365544,-8.803937435935161,-39.26202180077642,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,65,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
