evaluator,case_id,frozen_status,frozen_terminal,frozen_yaw_rmse_deg,frozen_h_rmse_m,R5_status,R5_failure_classification,R5_yaw_rmse_deg,R5_h_rmse_m,paired_finite,R5_failed_on_frozen_completed
v3,D37_seed_00,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_ALL_YAW_REJECTED,UNAVAILABLE,,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,False,False
v3,D38_seed_00,COMPLETED,COMPLETED,1.6792047156525585,0.09839810357172284,COMPLETED,NONE,1.8860509587338505,0.09756045602681368,True,False
v3,D39_seed_00,COMPLETED,COMPLETED,2.211496621032004,0.09719684892319018,COMPLETED,NONE,1.8862692894317534,0.09792033616535797,True,False
v3,D40_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.09716199583877864,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
v3,D41_seed_00,COMPLETED,COMPLETED,9.520839911494987,0.08934702344553898,COMPLETED,NONE,1.884872943852771,0.09413324546289055,True,False
v3,D42_seed_00,COMPLETED,COMPLETED,2.210678799237324,0.09724864947914288,COMPLETED,NONE,1.8837694481473208,0.09797473358500339,True,False
v3,D43_seed_00,COMPLETED,COMPLETED,2.1349950629168863,0.1017637328189007,COMPLETED,NONE,1.8738111713293852,0.1023045998791763,True,False
v3,D44_seed_00,COMPLETED,COMPLETED,2.2252505165612093,0.09711001362286022,COMPLETED,NONE,1.8875376279636649,0.0978632629260711,True,False
v3,D45_seed_00,COMPLETED,COMPLETED,2.1890194825007883,0.10784556097591365,COMPLETED,NONE,1.8780217963807857,0.10838270124970431,True,False
v3,D46_seed_00,COMPLETED,COMPLETED,2.222149009454408,0.09717878579877756,COMPLETED,NONE,1.8864704958957232,0.09792431596964601,True,False
v3,D47_seed_00,COMPLETED,COMPLETED,2.205944593164129,0.09723830680317651,COMPLETED,NONE,1.8839406053231493,0.0979571930558421,True,False
v3,D48_seed_00,COMPLETED,COMPLETED,2.221166109461651,0.09717257260658706,COMPLETED,NONE,1.8862905885159398,0.09791680430986367,True,False
v3,D49_seed_00,COMPLETED,COMPLETED,2.2089378066907734,0.09747685153211019,COMPLETED,NONE,1.882187716920137,0.09818105504988198,True,False
v3,D50_seed_00,COMPLETED,COMPLETED,2.2086610339634705,0.09695615946267098,COMPLETED,NONE,1.884897113142809,0.09771531194678,True,False
