category,method_id,config,sequence,start_mode,output_type,metric,value,denominator_or_valid_epochs,failure_flag,source,notes
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,rpe_5s_yaw_rmse_deg,6.001915533496701,pairs=2650,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,rpe_10s_translation_rmse_m,6.340804956411207,pairs=2600,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,rpe_10s_yaw_rmse_deg,9.346712663317641,pairs=2600,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,yaw_minus_raw_gyro_z_drift_deg_per_min,-45.69957614039959,valid_native=58583,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:sanity.yaw_minus_raw_gyro_z_drift_deg_per_min,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,native_path_length_10hz_m,668.7187441458329,valid_native=58583,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:sanity.native_path_length_10hz_m,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2H,CONTRACT_START,relative_pose,native_to_reference_path_ratio,2.0543476388688364,valid_native=58583,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-LIT__CONTRACT_START/RESULT.json:sanity.native_to_reference_path_ratio,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,position_drift_m_per_100m,34.015027152331754,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.position_drift_m_per_100m,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,heading_drift_deg_per_min,23.23976133867293,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.heading_drift_deg_per_min,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,aligned_horizontal_rmse_m,51.2815491761576,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.horizontal_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,aligned_up_rmse_m,7.292197325142911,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.up_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,aligned_yaw_rmse_deg,57.61796643878105,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,aligned_horizontal_max_m,108.168331950384,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.horizontal_max_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,reference_path_length_m,325.51391570418065,scored=2700,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.reference_path_length_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,rpe_1s_translation_rmse_m,0.7341564057116466,pairs=2690,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,rpe_1s_yaw_rmse_deg,1.272622452618287,pairs=2690,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,rpe_5s_translation_rmse_m,2.543772548624412,pairs=2650,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,rpe_5s_yaw_rmse_deg,3.727419464632273,pairs=2650,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,rpe_10s_translation_rmse_m,4.368606830006699,pairs=2600,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,rpe_10s_yaw_rmse_deg,5.9215744137094655,pairs=2600,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,yaw_minus_raw_gyro_z_drift_deg_per_min,-27.98461675154081,valid_native=58583,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:sanity.yaw_minus_raw_gyro_z_drift_deg_per_min,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,native_path_length_10hz_m,974.0126483982514,valid_native=58583,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:sanity.native_path_length_10hz_m,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2H,CONTRACT_START,relative_pose,native_to_reference_path_ratio,2.992230443639193,valid_native=58583,NONE,$HX02E/RUNS/BY2H__HARTLEY_OFFICIAL__OFF-DEF__CONTRACT_START/RESULT.json:sanity.native_to_reference_path_ratio,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,position_drift_m_per_100m,28.55885167565558,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.position_drift_m_per_100m,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,heading_drift_deg_per_min,13.987313224414136,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.heading_drift_deg_per_min,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,aligned_horizontal_rmse_m,77.50415029115919,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.horizontal_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,aligned_up_rmse_m,2.0437612721711016,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.up_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,aligned_yaw_rmse_deg,90.89602798370835,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,aligned_horizontal_max_m,136.1134917079472,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.horizontal_max_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,reference_path_length_m,337.4220465887643,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.reference_path_length_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,rpe_1s_translation_rmse_m,2.469611860478739,pairs=3761,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,rpe_1s_yaw_rmse_deg,2.8518383054178313,pairs=3761,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,rpe_5s_translation_rmse_m,7.967862379959084,pairs=3721,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,rpe_5s_yaw_rmse_deg,8.969428015424802,pairs=3721,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,rpe_10s_translation_rmse_m,13.186072190363495,pairs=3671,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,rpe_10s_yaw_rmse_deg,14.179047280202976,pairs=3671,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,yaw_minus_raw_gyro_z_drift_deg_per_min,-16.541700630608354,valid_native=76555,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:sanity.yaw_minus_raw_gyro_z_drift_deg_per_min,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,native_path_length_10hz_m,1116.2895698210798,valid_native=76555,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:sanity.native_path_length_10hz_m,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2O,FILE_START,relative_pose,native_to_reference_path_ratio,3.308288776938059,valid_native=76555,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-LIT__FILE_START/RESULT.json:sanity.native_to_reference_path_ratio,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2O,FILE_START,relative_pose,position_drift_m_per_100m,11.652023031652952,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-DEF__FILE_START/RESULT.json:metrics.position_drift_m_per_100m,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2O,FILE_START,relative_pose,heading_drift_deg_per_min,7.50242412240796,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-DEF__FILE_START/RESULT.json:metrics.heading_drift_deg_per_min,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2O,FILE_START,relative_pose,aligned_horizontal_rmse_m,30.683277135982653,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-DEF__FILE_START/RESULT.json:metrics.horizontal_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2O,FILE_START,relative_pose,aligned_up_rmse_m,9.100258751418762,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-DEF__FILE_START/RESULT.json:metrics.up_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2O,FILE_START,relative_pose,aligned_yaw_rmse_deg,35.655445886722504,scored=3771,NONE,$HX02E/RUNS/BY2O__HARTLEY_OFFICIAL__OFF-DEF__FILE_START/RESULT.json:metrics.yaw_rmse_deg,
